num,levc,revc,levc_revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cct,ccm,cct2,ccm2,lelc,relc,lelc_relc,slt,slm,sdc,smt,smm,sdt,sdm,sct,scm
1,53723,53741,107464,118362,2424162232,640427264,77557,377721358,200674736,217528507,89531632,595249865,290206368,3019412097,930633632,1622960,1622939,3245899,12762541924,2596420168,79036,6878562148,835900968,28309241638,765079872,35187803786,1600980840
2,107345,107145,214490,223526,2299694723,1243752096,151142,431620599,289416776,200694631,96472240,632315230,385889016,2932009953,1629641112,1629297,1629277,3258574,12469126716,2600323008,153756,7212867714,790431944,31288454881,5098143504,38501322595,5888575448
3,160852,160658,321510,318297,3082148022,1905820680,221094,500822859,498467136,306407677,165380048,807230536,663847184,3889378558,2569667864,1635644,1635719,3271363,12434605835,2565551464,223996,6830976707,876017056,36219185969,1677261256,43050162676,2553278312
4,214135,214081,428216,403668,4203135032,2464528920,287680,833739426,574206760,605841846,190151376,1439581272,764358136,5642716304,3228887056,1641837,1642093,3283930,11966324570,2567043576,290778,7547491605,892165960,31785416908,5611630280,39332908513,6503796240
5,267672,267412,535084,482143,3939040005,3224084320,351651,790918427,679687496,384282306,169921888,1175200733,849609384,5114240738,4073693704,1648276,1648553,3296829,12457582065,2566974048,354639,7061682690,880816504,37244251713,1190762592,44305934403,2071579096
6,320806,320121,640927,553048,4274466583,3704309792,412196,954549214,789032168,484313667,175340440,1438862881,964372608,5713329464,4668682400,1654596,1654981,3309577,13049237838,2562168840,414908,8439460785,815359176,31984009514,1117354264,40423470299,1932713440
7,373767,372890,746657,618066,5106775759,4208494384,469733,1220207613,870149008,598491868,174029824,1818699481,1044178832,6925475240,5252673216,1661004,1661237,3322241,13186239010,2610447272,472383,7033966307,840334504,33699296293,1550613096,40733262600,2390947600
8,426645,425571,852216,678171,5624580487,1543226976,525331,1113084396,914604992,715877164,166291808,1828961560,1080896800,7453542047,2624123776,1667253,1667591,3334844,12898639460,2577538384,527839,8159586050,893028600,33584059360,2050827536,41743645410,2943856136
9,479408,478267,957675,733849,5740234348,1225775160,578137,1099056307,979559400,647721798,201468608,1746778105,1181028008,7487012453,2406803168,1673707,1673895,3347602,14141603794,2619091928,580458,7823243774,906257904,34466289587,662697920,42289533361,1568955824
10,531922,530728,1062650,785898,6075272976,2649791360,629156,1972171806,1152915320,795481705,244734848,2767653511,1397650168,8842926487,4047441528,1679956,1680190,3360146,13230894963,2610504808,631549,7531785583,827842592,34372130630,2730264424,41903916213,3558107016
11,584503,583322,1167825,834765,6720128491,2517572360,678203,2021434033,1202916552,817149853,200486080,2838583886,1403402632,9558712377,3920974992,1686261,1686459,3372720,13085806859,2606322520,681491,6903860360,837068672,33391171608,5772829712,40295031968,6609898384
12,636577,635396,1271973,880293,6343126526,3635937984,725203,1792310182,1276427376,893565090,253381136,2685875272,1529808512,9029001798,5165746496,1692610,1692649,3385259,12851989215,2620432528,729590,8072894662,906396688,35891347576,1930612696,43964242238,2837009384
13,688999,687498,1376497,923210,7418684194,3410450232,770381,2594551384,1341938144,939986676,298054592,3534538060,1639992736,10953222254,5050442968,1698982,1698956,3397938,14075393071,2583139712,774586,7871995260,914543256,35297293192,692720392,43169288452,1607263648
14,741057,739261,1480318,963627,7758951346,4239449536,814018,2432364343,1355143416,1270428225,252597824,3702792568,1607741240,11461743914,5847190776,1705259,1705181,3410440,14472672683,2617144352,818507,10172587907,844826696,35862734337,2158037512,46035322244,3002864208
15,793057,791213,1584270,1002097,7811652720,1995157840,856271,2607626405,1452282832,1133352584,269353688,3740978989,1721636520,11552631709,3716794360,1711542,1711540,3423082,13161732545,2629879880,860952,7882764821,900809968,35813283254,1599160752,43696048075,2499970720
16,845129,842874,1688003,1038617,12763493338,3027676544,897158,2289542373,1516079280,1267467111,276341384,3557009484,1792420664,16320502822,4820097208,1717826,1717781,3435607,13492815095,2671356256,901822,7794129388,866785064,34328871021,1628247824,42123000409,2495032888
17,896721,894615,1791336,1073067,9480670951,2661012472,936370,2401063653,1542931296,1144282878,269761064,3545346531,1812692360,13026017482,4473704832,1724065,1724065,3448130,14436213514,2682276216,941176,8851013014,885829288,34525889407,2250715544,43376902421,3136544832
18,948696,946360,1895056,1106474,8629853094,2350310208,974881,3137978188,1660209312,1187957472,290815328,4325935660,1951024640,12955788754,4301334848,1730414,1730507,3460921,15371075672,2618729960,979621,7940431108,883375456,35076186706,1499954448,43016617814,2383329904
19,1000270,997841,1998111,1138181,9939913237,3802425736,1011994,3299267364,1667049792,1205495363,367334192,4504762727,2034383984,14444675964,5836809720,1736875,1736851,3473726,14025682378,2663172672,1015429,7299304185,911081504,36604124738,1902028984,43903428923,2813110488
20,1051641,1049429,2101070,1168617,10210465916,3994001744,1047883,2915048950,1753674912,1584053477,394828528,4499102427,2148503440,14709568343,6142505184,1743191,1743221,3486412,13352403495,2666538056,1051606,8288678811,909651848,35702924539,1312679968,43991603350,2222331816
21,1102771,1100555,2203326,1197803,10234446702,5392616528,1082786,3149980716,1832893856,1455016643,347807512,4604997359,2180701368,14839444061,7573317896,1749295,1749488,3498783,13126666016,2691191536,1086572,7785341509,935863912,39466861845,2568049696,47252203354,3503913608
22,1153887,1151878,2305765,1226188,11653371442,4975395480,1116759,3227304110,1830889280,1426028293,317445784,4653332403,2148335064,16306703845,7123730544,1755521,1755790,3511311,13476849079,2645381696,1120759,7893179765,952337480,36550750171,5902041104,44443929936,6854378584
